,,N = 100,,N = 1000,
Parameters,, $C_{\gamma}$,ARL, $C_{\gamma}$,ARL
"\lambda_{1}=1,\lambda_{2}=0.2",,6.4,5071,6.54,5110
"\lambda_{1}=1,\lambda_{2}=0.4",,6.43,5069,6.58,5020
"\lambda_{1}=1,\lambda_{2}=0.6",,6.475,4951,6.625,4904
"\lambda_{1}=1,\lambda_{2}=0.8",,6.56,4943,6.74,5184
"\lambda_{1}=1,\lambda_{2}=1",,6.65,5088,6.79,5118
"\lambda_{1}=1,\lambda_{2}=1.2",,6.76,4991,6.9,5115
"\lambda_{1}=1,\lambda_{2}=1.4",,6.86,5024,7,5151
"\lambda_{1}=1,\lambda_{2}=1.6",,6.96,5003,7.09,4896
"\lambda_{1}=1,\lambda_{2}=1.8",,7.06,5018,7.21,4995
"\lambda_{1}=1,\lambda_{2}=1.99",,7.06,5109,7.295,4895
