,,,,,#N,,,,,,,#N,,,
Parameters,,1,3,5,10,30,50,100,1,5,10,50,100,500,1000
"\lambda_{1}=1,\lambda_{2}=0.2",,25.2,12.4,9.1,5.7,2.7,2,1.2,30,11.8,7.6,2.7,1.7,1,1
"\lambda_{1}=1,\lambda_{2}=0.4",,25.1,12.2,8.8,5.5,2.6,1.9,1.1,29.4,11.4,7.3,2.6,1.7,1,1
"\lambda_{1}=1,\lambda_{2}=0.6",,25.1,12,8.6,5.3,2.4,1.7,1,28.7,11.1,7.1,2.5,1.6,1,1
"\lambda_{1}=1,\lambda_{2}=0.8",,25.2,11.9,8.5,5.2,2.3,1.6,1,28.6,10.9,6.9,2.4,1.5,1,1
"\lambda_{1}=1,\lambda_{2}=1",,25.2,11.8,8.4,5,2.2,1.5,1,28.1,10.7,6.7,2.3,1.4,1,1
"\lambda_{1}=1,\lambda_{2}=1.2",,25.5,11.8,8.3,4.9,2.2,1.5,1,27.8,10.5,6.6,2.2,1.4,1,1
"\lambda_{1}=1,\lambda_{2}=1.4",,25.8,11.7,8.2,4.8,2.1,1.4,1,27.5,10.3,6.4,2.2,1.3,1,1
"\lambda_{1}=1,\lambda_{2}=1.6",,26.1,11.7,8.1,4.8,2,1.4,1,27,10.1,6.3,2.1,1.3,1,1
"\lambda_{1}=1,\lambda_{2}=1.8",,26.5,11.7,8,4.7,2,1.3,1,26.5,10,6.2,2.1,1.2,1,1
"\lambda_{1}=1,\lambda_{2}=1.99",,26.5,11.5,7.9,4.6,1.9,1.3,1,26.1,9.8,6.1,2,1.2,1,1
